Sample_ID_Cpx,Mineral,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Total
TP3_cpx1-1 ,Clinopyroxene,52.22,0.5007,3.53,0.2984,5.32,0.1401,16.67,21.67,0.2527,,100.6019
TP3_cpx1-2 ,Clinopyroxene,52.46,0.3527,2.5085,0.5776,4.36,0.0958,16.78,22.28,0.2396,,99.6542
TP3_cpx2 ,Clinopyroxene,50.74,1.0913,2.0027,0.0136,11.62,0.294,15.05,18.08,0.3272,,99.2188
TP4_cpx1-1 ,Clinopyroxene,51.33,0.5243,2.5074,0.1629,5.9,0.1708,16.07,21.2,0.2248,,98.0902
TP4_cpx1-2 ,Clinopyroxene,51.78,0.4274,1.7926,0.0228,7.91,0.2242,15.45,21.04,0.3433,,98.9903
CC1_cpx1,Clinopyroxene,51.21,0.6417,3.29,0.0144,6.7,0.2067,15.89,21.03,0.3774,,99.3602
CC1_cpx2 ,Clinopyroxene,48.7,0.8657,1.551,0.0059,8.41,0.3008,15.24,16.36,0.4109,,91.8443
CC1_cpx3-1 ,Clinopyroxene,51.93,0.5528,2.7228,0.0114,7.19,0.1858,15.55,20.97,0.3327,,99.4455
CC1_cpx3-2 ,Clinopyroxene,49.09,0.825,4.12,0.0146,7.34,0.1655,14.63,21.48,0.4009,,98.066
CC1_cpx3-3 ,Clinopyroxene,51.56,0.9136,1.5401,0.0169,9.67,0.3913,15.74,18.69,0.4976,,99.0195
CC7_cpx1-1 ,Clinopyroxene,49.84,1.1976,4.96,0.4546,6.04,0.1438,14.97,21.55,0.4971,,99.6531
CC7_cpx1-2 ,Clinopyroxene,52.54,0.3293,3.24,0.9307,4.22,0.1124,17.27,21.08,0.3454,,100.0678
CC7_cpx2 ,Clinopyroxene,51.89,0.9436,2.0282,0.0863,9.17,0.2175,16.06,19.33,0.3799,,100.1055
LS1_cpx1 ,Clinopyroxene,43.96,2.6386,12.03,0.0551,11.99,0.217,7.49,19.34,1.4334,,99.1541
LS1_cpx2 ,Clinopyroxene,52.55,3.78,8.59,0.0149,11.95,0.2641,5.01,13.79,1.264,,97.213
LS4_cpx1 ,Clinopyroxene,48.82,2.0739,4.06,0.082,11.31,0.2782,13.92,18.16,0.5269,,99.231
LS4_cpx2 ,Clinopyroxene,46.32,3.05,4.63,0.1231,12.4,0.2839,11.97,18.83,0.5589,,98.1659
SC1_cpx1 ,Clinopyroxene,48.58,1.9816,3.46,0.0187,10.4,0.3047,13.84,19.6,0.5522,,98.7372
SC1_cpx2 ,Clinopyroxene,50.21,1.1297,2.6548,0.0553,9.3,0.2917,15.29,19.21,0.4643,,98.6058
SC4_cpx1 ,Clinopyroxene,36.38,2.2063,16.06,0.0196,7.7,0.1331,5.96,16.36,1.3099,,86.1289
SC4_cpx1 (dup),Clinopyroxene,37.03,2.2841,16.28,0.0233,7.41,0.1379,6.11,16.69,0.7207,,86.686
SC4_cpx2 ,Clinopyroxene,50.78,1.4608,2.6609,0.0078,9.77,0.2745,14.42,19.78,0.5822,,99.7362
PB5_cpx1 ,Clinopyroxene,40.7,5.28,11.85,0.2834,12.69,0.1715,11.9,10.77,3.48,,97.1249
PB5_cpx2 ,Clinopyroxene,51.65,0.816,1.7475,0.0636,9.18,0.2357,15.56,19.76,0.3457,,99.3585
PB8_cpx1 ,Clinopyroxene,51.61,0.8994,1.4522,0.058,11.3,0.3004,14.35,18.92,0.4651,,99.3551
PB8_cpx2 ,Clinopyroxene,51.15,0.7468,2.5299,0.7379,11.01,0.3289,15.03,18.08,0.5502,,100.1637
"matrix, 112-cpx5",Clinopyroxene,51.52,1.03,1.72,0.03,10.150642,0.31,15.69,18.62,0.4,,99.64
"matrix, 112-cpx6-2",Clinopyroxene,51.26,1.13,1.8,0,8.876674,0.3,15.22,19.83,0.45,,99.03
