SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O
WFL2005-882-PC520-5/6,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.36,1.14,16.38,,,,,10.02,,0.19,8.39,12.31,2.33,0.05,0.08,,
WFL2005-882-PC520-5/4,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.99,2.41,13.54,,,,,14.06,,0.17,6,10.22,2.81,0.2,0.22,,
WFL2005-882-PC520-5/1,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.11,1.08,17.01,,,,,9.43,,0.15,8.04,12.51,2.35,0.05,0.05,,
WFL2005-882-PC520-5/5,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.37,1.01,16.49,,,,,9.99,,0.18,8.51,12.28,2.37,0.06,0.06,,
WFL2005-882-PC520-5/2,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.03,1.03,16.77,,,,,9.34,,0.21,7.91,12.57,2.38,0.05,0.07,,
WFL2005-882-PC520-5/3,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5154,-130.041,1.00E-06,-2388.1,-2388.1,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.03,2.65,13.47,,,,,14.44,,0.24,5.8,10.06,2.7,0.2,0.25,,
WFL2005-881-PC43-5,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5248,-130.042,1.00E-06,-2343.3,-2343.3,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.63,1.36,15.09,,,,,10.94,,0.19,7.35,12.29,2.58,0.12,0.11,,
WFL2005-881-PC43-1,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5248,-130.042,1.00E-06,-2343.3,-2343.3,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.46,1.37,15.25,,,,,11.15,,0.18,7.44,12.3,2.57,0.14,0.12,,
WFL2005-881-PC43-2,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5248,-130.042,1.00E-06,-2343.3,-2343.3,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.57,1.31,15.07,,,,,10.88,,0.17,7.25,12.31,2.63,0.12,0.13,,
WFL2005-881-PC43-3,,EARTHCHEMDB,10.1016/j.jvolgeores.2008.08.007,WIDESPREAD STROMBOLIAN ERUPTIONS OF MID-OCEAN RIDGE BASALTS,J VOLCANOL GEOTHERM RES,"CLAGUE, D A; PADUAN, J B; DAVIS, A S",WFL2005,45.5248,-130.042,1.00E-06,-2343.3,-2343.3,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.58,1.41,15.22,,,,,10.8,,0.18,7.22,12.31,2.55,0.11,0.11,,
